Contact External ID,First Name,Last Name,Phone,Email,City,Age Band,Source,WhatsApp Opt-in,DND,Journey Stage,Tier,SKU,Subscription Status,Adviser Owner,Income Band,Corpus Band,Savings Band,Aspiration,Signed Up,Reveal Seen,Paid,Data Complete,Plan Built,Plan Read,Last Call,Next Review,Renewal Due,Last Activity,Onboarding %,KYC Status,AA Status,FP Status,IP Status,Actions Done,Actions Total,Consent Valid Till,Source Completeness,Sharpen Count,Last Manual Update,DIFM Prospect Flag,Adviser Continuity,Last Adviser,Profile Fulfilment %,Admin Link,Is Seed Topup
P00013,Arjun,Gill,9000001955,,Gurugram,35 to 39,corporate_session,false,false,S1,free,,,Adviser 03,,,,,2026-03-31,,,,,,,,,2026-03-31,0,not_started,,not_started,,,,,,,,,off,,12,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00013,false
P00015,Devika,Kulkarni,9000015513,,Pune,30 to 34,community,true,false,S1,free,,,Adviser 02,10 to 25 lakhs,,,,2026-04-03,,,,,,,,,2026-04-04,0,not_started,,not_started,,,,,,,,,off,,31,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00015,false
P00018,Shruti,Naik,9000033578,,Pune,35 to 39,corporate_session,true,false,S2,free,,,Adviser 06,10 to 25 lakhs,1 to 5 crores,"Around 40%, some serious money",Freedom,2026-04-03,2026-04-03,,,,,,,,2026-04-06,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00018,false
P00022,Chaitanya,Naidu,9000056120,,Visakhapatnam,25 to 29,community,true,false,S1,free,,,Adviser 04,10 to 25 lakhs,5 to 25 lakhs,,,2026-04-05,,,,,,,,,2026-04-06,0,not_started,,not_started,,,,,,,,,off,,38,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00022,false
P00023,Aditya,Bhatia,9000037541,,Jaipur,30 to 34,corporate_session,true,false,S1,free,,,Adviser 04,10 to 25 lakhs,,,,2026-03-30,,,,,,,,,2026-03-31,0,not_started,,not_started,,,,,,,,,off,,31,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00023,false
P00024,Janani,Iyer,9000046264,janani.iyer.378@example.com,Bengaluru,25 to 29,corporate_session,true,false,S10,diy,diy,active,Adviser 03,10 to 25 lakhs,5 to 25 lakhs,"Around 25%, meaningful amounts",Security,2026-03-29,2026-03-31,2026-03-31,2026-04-13,2026-04-13,2026-04-22,,2026-10-10,2026-09-27,2026-09-22,100,verified,not_connected,read,done,4,4,,yes,1,2026-07-26T05:17:32+05:30,,off,,98,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00024,false
P00025,Divya,Khanna,9000008501,,Noida,under 25,organic,true,true,S2,free,,,Adviser 05,Under 10 lakhs,5 to 25 lakhs,"More than 40%, I live well below my means",Security,2026-03-30,2026-03-30,,,,,,,,2026-03-31,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00025,false
P00027,Sai,Gowda,9000006405,sai.gowda.383@example.com,Bengaluru,40 to 44,corporate_session,true,false,S11,diy,diy,active,Adviser 04,50 lakhs to 1 crore,1 to 5 crores,"More than 40%, I live well below my means",Freedom,2026-03-31,2026-03-31,2026-04-01,2026-04-09,2026-04-09,2026-04-10,,2026-10-06,2026-09-28,2026-09-19,100,verified,partial,read,done,6,6,2026-10-01,yes,0,2026-04-09T20:48:44+05:30,rule,off,,100,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00027,false
P00028,Pavithra,Murthy,9000094294,pavithra.murthy.377@example.com,Bengaluru,25 to 29,community,true,false,S10,diwm,diwm,active,Adviser 03,10 to 25 lakhs,5 to 25 lakhs,"Around 40%, some serious money",Freedom,2026-04-03,2026-04-03,2026-04-24,2026-04-27,2026-04-27,2026-05-02,2026-05-14,2026-10-24,2026-10-21,2026-09-19,100,verified,cas_uploaded,read,done,6,6,,yes,0,2026-05-14T15:40:00+05:30,,off,Adviser 01,100,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00028,false
P00029,Kavya,Srivastava,9000010064,,Delhi,35 to 39,corporate_session,true,false,S2,free,,,Adviser 02,25 to 50 lakhs,25 lakhs to 1 crore,"Around 10%, small consistent chunks",Family,2026-04-01,2026-04-01,,,,,,,,2026-04-04,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00029,false
P00030,Kabir,Saxena,9000026256,,Delhi,35 to 39,corporate_session,true,false,S2,free,,,Adviser 06,50 lakhs to 1 crore,Over 5 crores,"More than 40%, I live well below my means",Family,2026-03-30,2026-03-30,,,,,,,,2026-04-02,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00030,false
P00031,Kinjal,Pandya,9000097146,,Ahmedabad,30 to 34,community,true,false,S1,free,,,Adviser 03,25 to 50 lakhs,,,,2026-04-09,,,,,,,,,2026-04-10,0,not_started,,not_started,,,,,,,,,off,,31,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00031,false
P00035,Anand,Pai,9000049644,anand.pai.170@example.com,Bengaluru,25 to 29,web_reveal,true,false,S2,free,,,Adviser 05,10 to 25 lakhs,5 to 25 lakhs,"Around 25%, meaningful amounts",Legacy,2026-04-03,2026-04-04,,,,,,,,2026-06-25,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00035,false
P00037,Dhruv,Deshmukh,9000070327,,Mumbai,25 to 29,community,true,false,S1,free,,,Adviser 01,,,,,2026-04-03,,,,,,,,,2026-04-04,0,not_started,,not_started,,,,,,,,,off,,12,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00037,false
P00038,Kinjal,Gokhale,9000083400,,Mumbai,35 to 39,community,true,false,S1,free,,,Adviser 02,,,,,2026-03-31,,,,,,,,,2026-04-01,0,not_started,,not_started,,,,,,,,,off,,19,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00038,false
P00039,Kavya,Bedi,9000050438,,Gurugram,35 to 39,referral,false,false,S2,free,,,Adviser 03,50 lakhs to 1 crore,1 to 5 crores,"Around 40%, some serious money",Family,2026-04-01,2026-04-01,,,,,,,,2026-04-03,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00039,false
P00040,Ramya,Nair,9000026345,,Chennai,30 to 34,community,true,false,S1,free,,,Adviser 01,25 to 50 lakhs,,,,2026-04-01,,,,,,,,,2026-04-02,0,not_started,,not_started,,,,,,,,,off,,31,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00040,false
P00043,Shreya,Mehra,9000031109,,Chandigarh,30 to 34,corporate_session,true,false,S2,free,,,Adviser 02,10 to 25 lakhs,25 lakhs to 1 crore,"Around 25%, meaningful amounts",Security,2026-04-04,2026-04-04,,,,,,,,2026-04-08,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00043,false
P00045,Aravind,Prasad,9000054650,,Bengaluru,25 to 29,community,true,false,S2,free,,,Adviser 05,10 to 25 lakhs,5 to 25 lakhs,"Around 25%, meaningful amounts",Freedom,2026-04-01,2026-04-01,,,,,,,,2026-04-04,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00045,false
P00046,Deepa,Pai,9000002571,,Hyderabad,25 to 29,corporate_session,true,false,S2,free,,,Adviser 06,Under 10 lakhs,5 to 25 lakhs,"More than 40%, I live well below my means",Freedom,2026-04-01,2026-04-01,,,,,,,,2026-04-05,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00046,false
P00047,Urvi,Sawant,9000045115,,Mumbai,25 to 29,community,true,false,S2,free,,,Adviser 06,10 to 25 lakhs,5 to 25 lakhs,"More than 40%, I live well below my means",Freedom,2026-04-02,2026-04-03,,,,,,,,2026-04-06,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00047,false
P00048,Sindhu,Chandran,9000071712,sindhu.chandran.338@example.com,Chennai,40 to 44,corporate_session,true,false,S8,diy,diy,active,Adviser 01,25 to 50 lakhs,25 lakhs to 1 crore,"More than 40%, I live well below my means",Family,2026-04-02,2026-04-02,2026-04-29,2026-05-06,2026-05-06,2026-05-12,,2026-11-02,2026-10-26,2026-09-20,100,verified,not_connected,read,ready,0,4,,yes,0,2026-05-06T12:12:19+05:30,,off,,100,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00048,false
P00050,Devika,Jain,9000005855,,Pune,30 to 34,community,true,false,S1,free,,,Adviser 03,,,,,2026-04-02,,,,,,,,,2026-04-03,0,not_started,,not_started,,,,,,,,,off,,19,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00050,false
P00053,Sameer,Apte,9000003521,,Mumbai,30 to 34,referral,true,false,S2,free,,,Adviser 04,25 to 50 lakhs,25 lakhs to 1 crore,"More than 40%, I live well below my means",Family,2026-04-02,2026-04-02,,,,,,,,2026-04-05,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00053,false
P00057,Yash,Bhatia,9000078158,yash.bhatia.240@example.com,Noida,25 to 29,community,false,false,S2b,free,,,Adviser 02,10 to 25 lakhs,Under 5 lakhs,"Around 40%, some serious money",Freedom,2026-04-02,2026-04-02,,,,,,,,2026-06-23,20,verified,,not_started,,,,,,,,,off,,88,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00057,false
P00061,Madhav,Kumar,9000040516,madhav.kumar.387@example.com,Chennai,35 to 39,web_reveal,false,false,S11,diwm,diwm,active,Adviser 03,10 to 25 lakhs,25 lakhs to 1 crore,"More than 40%, I live well below my means",Security,2026-04-10,2026-04-10,2026-04-16,2026-04-23,2026-04-23,2026-05-01,2026-06-05,2026-10-20,2026-10-13,2026-09-18,100,verified,connected,read,done,4,4,2026-10-18,yes,0,2026-05-03T20:10:00+05:30,manual,off,Adviser 04,100,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00061,false
P00063,Prachi,Kamat,9000031593,prachi.kamat.658@example.com,Mumbai,25 to 29,web_reveal,true,false,S2,free,,,Adviser 04,10 to 25 lakhs,25 lakhs to 1 crore,"More than 40%, I live well below my means",Freedom,2026-04-03,2026-04-03,,,,,,,,2026-06-25,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00063,false
P00066,Ayesha,Tiwari,9000034722,,Gurugram,30 to 34,corporate_session,false,false,S1,free,,,Adviser 04,25 to 50 lakhs,25 lakhs to 1 crore,,,2026-04-02,,,,,,,,,2026-04-03,0,not_started,,not_started,,,,,,,,,off,,38,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00066,false
P00067,Rituparna,Bose,9000057670,,Lucknow,25 to 29,community,true,true,S2,free,,,Adviser 06,10 to 25 lakhs,5 to 25 lakhs,"Around 40%, some serious money",Family,2026-04-04,2026-04-04,,,,,,,,2026-04-05,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00067,false
P00068,Deepa,Iyer,9000092956,,Bengaluru,under 25,corporate_session,true,false,S2,free,,,Adviser 02,10 to 25 lakhs,5 to 25 lakhs,"Around 40%, some serious money",Freedom,2026-04-13,2026-04-13,,,,,,,,2026-04-16,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00068,false
P00070,Srinivas,Varma,9000048548,,Chennai,25 to 29,corporate_session,true,false,S1,free,,,Adviser 01,10 to 25 lakhs,5 to 25 lakhs,"More than 40%, I live well below my means",,2026-04-04,,,,,,,,,2026-04-05,0,not_started,,not_started,,,,,,,,,off,,44,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00070,false
P00075,Madhav,Menon,9000068151,,Bengaluru,30 to 34,organic,true,false,S2,free,,,Adviser 06,50 lakhs to 1 crore,1 to 5 crores,"Around 25%, meaningful amounts",Generosity,2026-04-10,2026-04-11,,,,,,,,2026-04-14,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00075,false
P00077,Saloni,Apte,9000063666,,Mumbai,30 to 34,community,true,false,S1,free,,,Adviser 03,25 to 50 lakhs,1 to 5 crores,"Around 40%, some serious money",,2026-04-10,,,,,,,,,2026-04-11,0,not_started,,not_started,,,,,,,,,off,,44,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00077,false
P00078,Arun,Iyengar,9000042745,,Hyderabad,40 to 44,community,true,true,S2,free,,,Adviser 05,25 to 50 lakhs,1 to 5 crores,"More than 40%, I live well below my means",Family,2026-04-03,2026-04-04,,,,,,,,2026-04-05,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00078,false
P00079,Tejas,Kulkarni,9000094049,tejas.kulkarni.943@example.com,Mumbai,30 to 34,community,true,false,S1,free,,,Adviser 02,,,,,2026-04-09,,,,,,,,,2026-04-10,0,not_started,,not_started,,,,,,,,,off,,19,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00079,false
P00080,Sanjana,Srivastava,9000099955,,Gurugram,35 to 39,organic,false,false,S1,free,,,Adviser 05,25 to 50 lakhs,25 lakhs to 1 crore,"More than 40%, I live well below my means",,2026-04-06,,,,,,,,,2026-04-06,0,not_started,,not_started,,,,,,,,,off,,50,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00080,false
P00081,Heena,Jadhav,9000048185,,Mumbai,25 to 29,organic,true,false,S1,free,,,Adviser 06,25 to 50 lakhs,Under 5 lakhs,"More than 40%, I live well below my means",,2026-04-09,,,,,,,,,2026-04-10,0,not_started,,not_started,,,,,,,,,off,,44,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00081,false
P00083,Subhajit,Chatterjee,9000032107,subhajit.chatterjee.354@example.com,Kolkata,30 to 34,web_reveal,false,false,S9,diwm,diwm,active,Adviser 01,25 to 50 lakhs,25 lakhs to 1 crore,"More than 40%, I live well below my means",Security,2026-04-08,2026-04-09,2026-04-09,2026-04-22,2026-04-22,2026-04-23,2026-05-11,2026-10-19,2026-10-06,2026-09-22,100,verified,not_connected,read,executing,6,7,,yes,0,2026-05-11T18:10:00+05:30,,off,Adviser 06,97,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00083,false
P00084,Nidhi,Dave,9000067947,nidhi.dave.597@example.com,Chennai,35 to 39,community,true,false,S2,free,,,Adviser 03,Under 10 lakhs,25 lakhs to 1 crore,"Around 25%, meaningful amounts",Security,2026-04-05,2026-04-05,,,,,,,,2026-06-26,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00084,false
P00086,Dhruv,Trivedi,9000092542,dhruv.trivedi.808@example.com,Gurugram,30 to 34,web_reveal,true,true,S2,free,,,Adviser 03,25 to 50 lakhs,25 lakhs to 1 crore,"More than 40%, I live well below my means",Family,2026-04-12,2026-04-12,,,,,,,,2026-07-04,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00086,false
P00087,Ramya,Rajan,9000069577,,Hyderabad,35 to 39,organic,true,false,S2,free,,,Adviser 06,Over 1 crore,25 lakhs to 1 crore,"More than 40%, I live well below my means",Family,2026-04-07,2026-04-07,,,,,,,,2026-04-10,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00087,false
P00089,Anand,Iyer,9000070613,,Bengaluru,30 to 34,corporate_session,true,false,S1,free,,,Adviser 03,10 to 25 lakhs,5 to 25 lakhs,"More than 40%, I live well below my means",,2026-04-11,,,,,,,,,2026-04-13,0,not_started,,not_started,,,,,,,,,off,,50,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00089,false
P00094,Chaitanya,Varma,9000034218,,Hyderabad,35 to 39,corporate_session,true,false,S2,free,,,Adviser 02,10 to 25 lakhs,25 lakhs to 1 crore,"More than 40%, I live well below my means",Family,2026-04-10,2026-04-11,,,,,,,,2026-04-14,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00094,false
P00096,Tanmoy,Sahoo,9000077000,tanmoy.sahoo.212@example.com,Delhi,30 to 34,community,true,false,S2,free,,,Adviser 01,50 lakhs to 1 crore,25 lakhs to 1 crore,"More than 40%, I live well below my means",Generosity,2026-04-07,2026-04-07,,,,,,,,2026-06-29,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00096,false
P00097,Sowmya,Rao,9000047355,sowmya.rao.591@example.com,Chennai,30 to 34,web_reveal,false,false,S2,free,,,Adviser 06,25 to 50 lakhs,25 lakhs to 1 crore,"More than 40%, I live well below my means",Freedom,2026-04-11,2026-04-11,,,,,,,,2026-07-02,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00097,false
P00098,Kabir,Bhatia,9000024472,,Delhi,35 to 39,corporate_session,true,false,S2,free,,,Adviser 02,50 lakhs to 1 crore,1 to 5 crores,"More than 40%, I live well below my means",Generosity,2026-04-07,2026-04-07,,,,,,,,2026-04-10,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00098,false
P00099,Aditya,Tandon,9000038625,aditya.tandon.636@example.com,Hyderabad,35 to 39,community,true,false,S2,free,,,Adviser 02,25 to 50 lakhs,25 lakhs to 1 crore,"Around 40%, some serious money",Family,2026-04-16,2026-04-18,,,,,,,,2026-07-09,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00099,false
P00101,Sourav,Das,9000065448,,Delhi,40 to 44,community,true,false,S2,free,,,Adviser 01,25 to 50 lakhs,25 lakhs to 1 crore,"Around 25%, meaningful amounts",Family,2026-04-10,2026-04-10,,,,,,,,2026-04-13,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00101,false
P00105,Rahul,Singh,9000094996,,Delhi,35 to 39,corporate_session,true,false,S1,free,,,Adviser 01,50 lakhs to 1 crore,1 to 5 crores,,,2026-04-10,,,,,,,,,2026-04-11,0,not_started,,not_started,,,,,,,,,off,,38,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00105,false
P00108,Vignesh,Hegde,9000065259,vignesh.hegde.385@example.com,Bengaluru,25 to 29,community,true,false,S11,diy,diy,active,Adviser 04,10 to 25 lakhs,5 to 25 lakhs,"More than 40%, I live well below my means",Freedom,2026-04-09,2026-04-09,2026-04-12,2026-05-07,2026-05-07,2026-05-07,,2026-11-03,2026-10-09,2026-09-23,100,verified,connected,read,executing,5,7,2026-10-15,yes,0,2026-05-02T18:17:41+05:30,,off,,100,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00108,false
P00109,Pranali,Naik,9000055661,,Pune,25 to 29,community,true,false,S2,free,,,Adviser 01,10 to 25 lakhs,25 lakhs to 1 crore,"Around 40%, some serious money",Generosity,2026-04-11,2026-04-11,,,,,,,,2026-04-14,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00109,false
P00114,Meenakshi,Murthy,9000068716,meenakshi.murthy.683@example.com,Hyderabad,30 to 34,community,true,false,S2,free,,,Adviser 03,25 to 50 lakhs,25 lakhs to 1 crore,"More than 40%, I live well below my means",Security,2026-04-08,2026-04-08,,,,,,,,2026-06-29,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00114,false
P00116,Tanvi,Bedi,9000033776,tanvi.bedi.403@example.com,Gurugram,30 to 34,community,true,false,S13,diy,diy,lapsed,Adviser 03,25 to 50 lakhs,25 lakhs to 1 crore,"More than 40%, I live well below my means",Security,2026-04-14,2026-04-14,2026-04-15,2026-04-18,2026-04-18,2026-04-20,,2026-10-15,,2026-09-15,100,verified,connected,read,ready,0,4,2026-10-15,yes,2,2026-08-02T00:45:50+05:30,,off,,98,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00116,false
