Deal External ID,Contact External ID,Deal Name,SKU,Period,Amount,GST Type,Payment Method,Coupon,Razorpay Customer Id,Razorpay Subscription or Txn Id,Mandate Status,Start,Next Billing,Status,Grace Until,Retry Count,Calls Included Per Period,Calls Used,Cancel Reason,Refund Requested,Refund Status
DL-01519-1,P01519,"DIWM monthly, Kavya Chauhan",diwm,monthly,Rs ___,igst,upi,,cust_SEED01519,sub_SEED015191,active,2026-07-24,,lapsed,2026-08-30,3,N,0,,false,
DL-01550-1,P01550,"DIY monthly, Shreya Srivastava",diy,monthly,Rs ___,igst,netbanking,,cust_SEED01550,pay_SEED015501,none (charged per period),2026-07-23,2026-10-21,active,,0,0,0,,false,
DL-01567-1,P01567,"DIWM monthly, Heena Kamat",diwm,monthly,Rs ___,cgst_sgst,upi,,cust_SEED01567,sub_SEED015671,active,2026-07-26,2026-09-24,active,,0,N,1,,false,
DL-01585-1,P01585,"DIWM monthly, Varun Bedi",diwm,monthly,Rs ___,igst,upi,,cust_SEED01585,sub_SEED015851,active,2026-07-30,2026-09-28,active,,0,N,0,,false,
DL-01595-1,P01595,"DIWM monthly, Sandeep Pai",diwm,monthly,Rs ___,igst,upi,,cust_SEED01595,sub_SEED015951,active,2026-08-02,2026-10-01,active,,0,N,0,,false,
DL-01615-1,P01615,"DIY monthly, Sai Srinivasan",diy,monthly,Rs ___,igst,upi,,cust_SEED01615,sub_SEED016151,active,2026-07-21,2026-10-19,active,,0,0,0,,false,
DL-01621-1,P01621,"DIWM monthly, Aravind Pai",diwm,monthly,Rs ___,igst,upi,,cust_SEED01621,sub_SEED016211,active,2026-07-23,2026-10-21,active,,0,N,0,,false,
DL-01625-1,P01625,"DIWM monthly, Chaitanya Kumar",diwm,monthly,Rs ___,igst,upi,,cust_SEED01625,sub_SEED016251,active,2026-07-29,2026-09-27,active,,0,N,0,,false,
DL-01631-1,P01631,"DIWM quarterly, Nidhi Jain",diwm,quarterly,Rs ___,igst,upi,,cust_SEED01631,sub_SEED016311,active,2026-07-20,2026-10-18,active,,0,N,0,,false,
DL-01676-1,P01676,"DIY quarterly, Amruta Bhosale",diy,quarterly,Rs ___,cgst_sgst,upi,,cust_SEED01676,sub_SEED016761,active,2026-07-28,2026-10-26,active,,0,0,0,,false,
DL-01696-1,P01696,"DIWM monthly, Foram Kamat",diwm,monthly,Rs ___,cgst_sgst,upi,,cust_SEED01696,sub_SEED016961,active,2026-08-25,2026-09-24,active,,0,N,0,,false,
DL-01698-1,P01698,"DIWM monthly, Pavithra Naidu",diwm,monthly,Rs ___,igst,upi,,cust_SEED01698,sub_SEED016981,active,2026-09-19,2026-10-19,active,,0,N,0,,false,
DL-01736-1,P01736,"DIWM monthly, Rajiv Kamath",diwm,monthly,Rs ___,none,netbanking,SEEDZERO,cust_SEED01736,pay_SEED017361,none (charged per period),2026-08-10,2026-10-09,active,,0,N,0,,false,
DL-01747-1,P01747,"DIWM monthly, Madhura Chitale",diwm,monthly,Rs ___,igst,upi,,cust_SEED01747,sub_SEED017471,active,2026-09-14,,cancelled,,0,N,0,Not what I expected,true,pending (brief H5: to be decided)
DL-01757-1,P01757,"DIWM monthly, Jay Vora",diwm,monthly,Rs ___,cgst_sgst,upi,,cust_SEED01757,sub_SEED017571,active,2026-07-31,2026-09-29,active,,0,N,0,,false,
DL-01768-1,P01768,"DIWM quarterly, Aditya Mehra",diwm,quarterly,Rs ___,igst,upi,,cust_SEED01768,sub_SEED017681,active,2026-07-31,2026-10-29,active,,0,N,0,,false,
DL-01779-1,P01779,"DIY quarterly, Sandeep Nair",diy,quarterly,Rs ___,igst,upi,,cust_SEED01779,sub_SEED017791,active,2026-07-31,2026-10-29,active,,0,0,0,,false,
DL-01807-1,P01807,"DIWM monthly, Tarun Kapoor",diwm,monthly,Rs ___,igst,upi,,cust_SEED01807,sub_SEED018071,active,2026-08-07,2026-10-06,active,,0,N,0,,false,
DL-01823-1,P01823,"DIWM quarterly, Kinjal Gokhale",diwm,quarterly,Rs ___,cgst_sgst,upi,,cust_SEED01823,sub_SEED018231,active,2026-08-05,2026-11-03,active,,0,N,1,,false,
DL-01827-1,P01827,"DIY quarterly, Karthik Menon",diy,quarterly,Rs ___,igst,upi,,cust_SEED01827,sub_SEED018271,active,2026-08-02,2026-10-31,active,,0,0,1,,false,
DL-01860-1,P01860,"DIWM monthly, Ayesha Chauhan",diwm,monthly,Rs ___,igst,upi,,cust_SEED01860,sub_SEED018601,active,2026-08-23,2026-10-22,active,,0,N,0,,false,
DL-01894-1,P01894,"DIWM quarterly, Ruchi Singh",diwm,quarterly,Rs ___,igst,netbanking,,cust_SEED01894,pay_SEED018941,none (charged per period),2026-08-12,2026-11-10,active,,0,N,0,,false,
DL-01898-1,P01898,"DIY quarterly, Sindhu Kumar",diy,quarterly,Rs ___,igst,upi,,cust_SEED01898,sub_SEED018981,active,2026-08-04,2026-11-02,active,,0,0,0,,false,
DL-01914-1,P01914,"DIY monthly, Aakash Pandey",diy,monthly,Rs ___,igst,upi,,cust_SEED01914,sub_SEED019141,active,2026-08-12,2026-10-11,active,,0,0,0,,false,
DL-01918-1,P01918,"DIWM monthly, Suresh Rajan",diwm,monthly,Rs ___,igst,upi,,cust_SEED01918,sub_SEED019181,active,2026-08-08,2026-10-07,active,,0,N,0,,false,
DL-01942-1,P01942,"DIY quarterly, Ritika Tandon",diy,quarterly,Rs ___,igst,upi,,cust_SEED01942,sub_SEED019421,active,2026-09-08,2026-12-07,active,,0,0,0,,false,
DL-01952-1,P01952,"DIWM quarterly, Vidya Iyer",diwm,quarterly,Rs ___,igst,netbanking,,cust_SEED01952,pay_SEED019521,none (charged per period),2026-08-17,2026-11-15,active,,0,N,1,,false,
DL-01990-1,P01990,"DIWM monthly, Sandeep Nair",diwm,monthly,Rs ___,igst,upi,,cust_SEED01990,sub_SEED019901,active,2026-08-12,2026-10-11,active,,0,N,1,,false,
DL-01994-1,P01994,"DIWM monthly, Kinjal Chitale",diwm,monthly,Rs ___,igst,upi,,cust_SEED01994,sub_SEED019941,active,2026-08-31,2026-09-30,active,,0,N,0,,false,
DL-02011-1,P02011,"DIWM monthly, Prachi Pawar",diwm,monthly,Rs ___,cgst_sgst,upi,,cust_SEED02011,sub_SEED020111,active,2026-08-31,2026-09-30,active,,0,N,1,,false,
