Ticket External ID,Contact Email,Contact Phone,Category,Subject,Description,Created At,SLA Due,Status,Resolved At,SCORES Ref
TK-022751,,9000059134,support,SIP date wrong on the calendar,Ticket raised in the app (H07): sip date wrong on the calendar. Stage S2. Tier free. Last screen H07. Last integration failure: none.,2026-09-11T18:00:22+05:30,2026-09-14T18:00:22+05:30,resolved,2026-09-13T03:36:22+05:30,
TK-023441,pavithra.chandran.755@example.com,9000004861,support,CAS upload did not go through,Ticket raised in the app (H07): cas upload did not go through. Stage S2. Tier free. Last screen H07. Last integration failure: none.,2026-08-15T08:10:54+05:30,2026-08-17T08:10:54+05:30,open,,
TK-025161,,9000097601,support,Change my registered mobile,Ticket raised in the app (H07): change my registered mobile. Stage S2. Tier free. Last screen H07. Last integration failure: none.,2026-09-13T16:36:32+05:30,2026-09-14T16:36:32+05:30,open,,
TK-025221,,9000069893,support,Bank account not showing after the fetch,Ticket raised in the app (H07): bank account not showing after the fetch. Stage S2. Tier free. Last screen H07. Last integration failure: none.,2026-09-19T17:01:56+05:30,2026-09-21T17:01:56+05:30,resolved,2026-09-20T04:17:08+05:30,
TK-025621,,9000005337,support,SIP date wrong on the calendar,Ticket raised in the app (H07): sip date wrong on the calendar. Stage S2. Tier free. Last screen H07. Last integration failure: none.,2026-06-29T11:00:30+05:30,2026-06-30T11:00:30+05:30,resolved,2026-06-30T05:42:51+05:30,
TK-025911,,9000089607,support,CAS upload did not go through,Ticket raised in the app (H07): cas upload did not go through. Stage S2. Tier free. Last screen H07. Last integration failure: none.,2026-08-29T14:54:06+05:30,2026-08-31T14:54:06+05:30,resolved,2026-08-31T19:30:30+05:30,
TK-025991,ankit.gupta.110@example.com,9000037320,support,CAS upload did not go through,Ticket raised in the app (H07): cas upload did not go through. Stage S2. Tier free. Last screen H07. Last integration failure: none.,2026-08-28T09:48:56+05:30,2026-08-31T09:48:56+05:30,resolved,2026-09-01T13:02:15+05:30,
TK-027321,,9000054012,support,Cannot find my plan PDF,Ticket raised in the app (H07): cannot find my plan pdf. Stage S2. Tier free. Last screen H07. Last integration failure: none.,2026-05-18T18:48:36+05:30,2026-05-19T18:48:36+05:30,resolved,2026-05-18T23:38:58+05:30,
TK-028171,karthik.rajan.291@example.com,9000026979,support,"Payment debited, plan still locked","Ticket raised in the app (H07): payment debited, plan still locked. Stage S2c. Tier free. Last screen H07. Last integration failure: none.",2026-08-17T22:04:52+05:30,2026-08-18T22:04:52+05:30,resolved,2026-08-18T17:53:56+05:30,
TK-028321,nishant.jain.269@example.com,9000007842,support,"Payment debited, plan still locked","Ticket raised in the app (H07): payment debited, plan still locked. Stage S3. Tier diwm. Last screen H07. Last integration failure: none.",2026-09-22T15:17:51+05:30,2026-09-23T15:17:51+05:30,open,,
TK-028381,pavithra.krishnan.349@example.com,9000056596,support,Bank account not showing after the fetch,Ticket raised in the app (H07): bank account not showing after the fetch. Stage S3. Tier diwm. Last screen H07. Last integration failure: none.,2026-09-21T22:49:07+05:30,2026-09-22T22:49:07+05:30,resolved,2026-09-22T06:25:07+05:30,
TK-028411,sakshi.singh.278@example.com,9000045790,support,"Payment debited, plan still locked","Ticket raised in the app (H07): payment debited, plan still locked. Stage S3. Tier diy. Last screen H07. Last integration failure: none.",2026-09-21T08:18:02+05:30,2026-09-22T08:18:02+05:30,resolved,2026-09-22T15:13:11+05:30,
TK-028451,anjali.srivastava.282@example.com,9000032271,support,SIP date wrong on the calendar,Ticket raised in the app (H07): sip date wrong on the calendar. Stage S3. Tier diy. Last screen H07. Last integration failure: none.,2026-09-20T09:15:18+05:30,2026-09-21T09:15:18+05:30,open,,
TK-028501,rajarshi.sahoo.324@example.com,9000011718,adviser_message,Question on my SIP amounts,Ticket raised in the app (H07): question on my sip amounts. Stage S4. Tier diwm. Last screen H07. Last integration failure: none.,2026-09-19T10:34:39+05:30,2026-09-21T10:34:39+05:30,resolved,2026-09-21T05:44:39+05:30,
TK-028511,sourav.nayak.288@example.com,9000051490,grievance,No reply for a week,Ticket raised in the app (H07): no reply for a week. Stage S3. Tier diwm. Last screen H07. Last integration failure: none.,2026-09-20T16:26:38+05:30,2026-09-21T16:26:38+05:30,resolved,2026-09-21T11:05:38+05:30,SCORES-SEED-37063
TK-028541,pavithra.kumar.328@example.com,9000031678,support,CAS upload did not go through,Ticket raised in the app (H07): cas upload did not go through. Stage S4. Tier diy. Last screen H07. Last integration failure: I01 fi_fetch failed.,2026-09-21T15:40:32+05:30,2026-09-22T15:40:32+05:30,resolved,2026-09-22T09:03:43+05:30,
TK-028561,pavithra.naidu.330@example.com,9000097371,support,Bank account not showing after the fetch,Ticket raised in the app (H07): bank account not showing after the fetch. Stage S4. Tier diwm. Last screen H07. Last integration failure: I01 fi_fetch failed.,2026-09-22T12:36:27+05:30,2026-09-23T12:36:27+05:30,resolved,2026-09-23T03:55:43+05:30,
TK-028611,hetal.joshi.372@example.com,9000027706,support,"Payment debited, plan still locked","Ticket raised in the app (H07): payment debited, plan still locked. Stage S7. Tier diy. Last screen H07. Last integration failure: I01 fi_fetch failed.",2026-09-18T19:07:39+05:30,2026-09-21T19:07:39+05:30,resolved,2026-09-19T12:12:39+05:30,
TK-028621,meenakshi.kumar.299@example.com,9000061795,support,Change my registered mobile,Ticket raised in the app (H07): change my registered mobile. Stage S4. Tier diwm. Last screen H07. Last integration failure: I01 fi_fetch failed.,2026-09-22T09:22:58+05:30,2026-09-23T09:22:58+05:30,resolved,2026-09-23T03:08:04+05:30,
TK-028641,biswajit.sahoo.301@example.com,9000072674,support,SIP date wrong on the calendar,Ticket raised in the app (H07): sip date wrong on the calendar. Stage S19. Tier diwm. Last screen H07. Last integration failure: I12 send failed.,2026-09-13T17:09:06+05:30,2026-09-14T17:09:06+05:30,resolved,2026-09-13T23:58:32+05:30,
TK-028661,arjun.khanna.303@example.com,9000037899,support,Cannot find my plan PDF,Ticket raised in the app (H07): cannot find my plan pdf. Stage S4. Tier diy. Last screen H07. Last integration failure: I01 fi_fetch timeout.,2026-09-17T23:32:32+05:30,2026-09-18T23:32:32+05:30,resolved,2026-09-18T11:40:40+05:30,
TK-028721,sandeep.pai.420@example.com,9000011331,support,"Payment debited, plan still locked","Ticket raised in the app (H07): payment debited, plan still locked. Stage S6. Tier diwm. Last screen H07. Last integration failure: none.",2026-09-02T15:15:54+05:30,2026-09-03T15:15:54+05:30,open,,
TK-028741,janani.kumar.422@example.com,9000053514,support,"Payment debited, plan still locked","Ticket raised in the app (H07): payment debited, plan still locked. Stage S3. Tier diwm. Last screen H07. Last integration failure: I07 esign failed.",2026-09-06T21:02:08+05:30,2026-09-07T21:02:08+05:30,resolved,2026-09-08T04:16:55+05:30,
TK-028801,bhavana.reddy.354@example.com,9000003170,support,Change my registered mobile,Ticket raised in the app (H07): change my registered mobile. Stage S7. Tier diwm. Last screen H07. Last integration failure: none.,2026-09-22T11:08:19+05:30,2026-09-23T11:08:19+05:30,resolved,2026-09-22T16:25:00+05:30,
TK-028831,kinjal.kamat.320@example.com,9000006551,grievance,Call cancelled without notice,Ticket raised in the app (H07): call cancelled without notice. Stage S8. Tier diwm. Last screen H07. Last integration failure: none.,2026-08-31T23:15:57+05:30,2026-09-01T23:15:57+05:30,resolved,2026-09-01T21:51:32+05:30,SCORES-SEED-37479
TK-028931,prachi.pawar.404@example.com,9000091786,support,Change my registered mobile,Ticket raised in the app (H07): change my registered mobile. Stage S4. Tier diwm. Last screen H07. Last integration failure: I01 fi_fetch failed.,2026-09-06T17:57:21+05:30,2026-09-07T17:57:21+05:30,open,,
TK-028941,nithya.rao.331@example.com,9000063689,adviser_message,Question on my SIP amounts,Ticket raised in the app (H07): question on my sip amounts. Stage S8. Tier diwm. Last screen H07. Last integration failure: none.,2026-09-04T09:44:56+05:30,2026-09-07T09:44:56+05:30,resolved,2026-09-06T04:52:36+05:30,
TK-028991,aditya.mehra.373@example.com,9000036327,support,Change my registered mobile,Ticket raised in the app (H07): change my registered mobile. Stage S8. Tier diwm. Last screen H07. Last integration failure: none.,2026-09-08T11:22:09+05:30,2026-09-09T11:22:09+05:30,resolved,2026-09-09T15:41:41+05:30,
TK-029111,pranav.verma.348@example.com,9000048019,support,SIP date wrong on the calendar,Ticket raised in the app (H07): sip date wrong on the calendar. Stage S9. Tier diy. Last screen H07. Last integration failure: none.,2026-08-29T08:48:08+05:30,2026-08-31T08:48:08+05:30,resolved,2026-08-30T01:48:45+05:30,
TK-029121,nishant.deshmukh.349@example.com,9000035218,support,Cannot find my plan PDF,Ticket raised in the app (H07): cannot find my plan pdf. Stage S8. Tier diy. Last screen H07. Last integration failure: none.,2026-08-11T22:41:30+05:30,2026-08-12T22:41:30+05:30,resolved,2026-08-12T16:33:21+05:30,
TK-029141,nidhi.jain.351@example.com,9000062983,support,Cannot find my plan PDF,Ticket raised in the app (H07): cannot find my plan pdf. Stage S9. Tier diy. Last screen H07. Last integration failure: none.,2026-08-19T07:45:17+05:30,2026-08-20T07:45:17+05:30,resolved,2026-08-19T22:37:49+05:30,
TK-029171,subhajit.chatterjee.354@example.com,9000032107,support,Change my registered mobile,Ticket raised in the app (H07): change my registered mobile. Stage S9. Tier diwm. Last screen H07. Last integration failure: I12 send failed.,2026-08-09T20:48:06+05:30,2026-08-10T20:48:06+05:30,resolved,2026-08-10T05:16:11+05:30,
TK-029301,urvi.shinde.367@example.com,9000004935,support,SIP date wrong on the calendar,Ticket raised in the app (H07): sip date wrong on the calendar. Stage S8. Tier diy. Last screen H07. Last integration failure: none.,2026-09-15T12:56:29+05:30,2026-09-16T12:56:29+05:30,resolved,2026-09-15T20:43:34+05:30,
TK-029331,chinmay.trivedi.370@example.com,9000005226,grievance,Call cancelled without notice,Ticket raised in the app (H07): call cancelled without notice. Stage S9. Tier diwm. Last screen H07. Last integration failure: I01 fi_fetch failed.,2026-07-27T09:56:33+05:30,2026-07-28T09:56:33+05:30,open,,SCORES-SEED-38129
TK-029371,sandeep.shetty.374@example.com,9000014568,support,SIP date wrong on the calendar,Ticket raised in the app (H07): sip date wrong on the calendar. Stage S8. Tier diy. Last screen H07. Last integration failure: none.,2026-05-02T09:41:48+05:30,2026-05-04T09:41:48+05:30,resolved,2026-05-04T00:43:50+05:30,
TK-029391,nishant.gokhale.376@example.com,9000060011,adviser_message,Is my term cover enough,Ticket raised in the app (H07): is my term cover enough. Stage S10. Tier diwm. Last screen H07. Last integration failure: I12 send failed.,2026-08-29T10:31:43+05:30,2026-08-31T10:31:43+05:30,resolved,2026-08-31T05:11:07+05:30,
TK-029401,pavithra.murthy.377@example.com,9000094294,support,Cannot find my plan PDF,Ticket raised in the app (H07): cannot find my plan pdf. Stage S9. Tier diwm. Last screen H07. Last integration failure: none.,2026-07-18T19:23:19+05:30,2026-07-20T19:23:19+05:30,resolved,2026-07-21T10:51:28+05:30,
TK-029441,vikram.singh.381@example.com,9000083525,support,SIP date wrong on the calendar,Ticket raised in the app (H07): sip date wrong on the calendar. Stage S9. Tier diwm. Last screen H07. Last integration failure: I05 isin_lookup failed.,2026-07-20T09:18:32+05:30,2026-07-21T09:18:32+05:30,resolved,2026-07-21T01:27:15+05:30,
TK-029461,sai.gowda.383@example.com,9000006405,grievance,Charged twice for the quarter,Ticket raised in the app (H07): charged twice for the quarter. Stage S9. Tier diy. Last screen H07. Last integration failure: I09 charge failed.,2026-07-08T15:30:15+05:30,2026-07-09T15:30:15+05:30,resolved,2026-07-09T10:44:33+05:30,SCORES-SEED-38298
TK-029471,aman.pandey.384@example.com,9000012317,support,Change my registered mobile,Ticket raised in the app (H07): change my registered mobile. Stage S8. Tier diy. Last screen H07. Last integration failure: I12 send failed.,2026-07-18T16:53:27+05:30,2026-07-20T16:53:27+05:30,resolved,2026-07-19T06:40:29+05:30,
TK-029611,shruti.joshi.398@example.com,9000036467,support,SIP date wrong on the calendar,Ticket raised in the app (H07): sip date wrong on the calendar. Stage S13. Tier diwm. Last screen H07. Last integration failure: I09 charge failed.,2026-08-29T21:47:41+05:30,2026-08-31T21:47:41+05:30,resolved,2026-08-30T19:17:22+05:30,
TK-029671,naina.tiwari.404@example.com,9000099907,support,SIP date wrong on the calendar,Ticket raised in the app (H07): sip date wrong on the calendar. Stage S13. Tier diy. Last screen H07. Last integration failure: I09 checkout failed.,2026-09-14T09:31:06+05:30,2026-09-15T09:31:06+05:30,resolved,2026-09-15T09:46:14+05:30,
TK-029711,,9000000765,grievance,Refund not processed,Ticket raised in the app (H07): refund not processed. Stage S14. Tier difm. Last screen H07. Last integration failure: none.,2026-09-18T15:46:59+05:30,2026-09-21T15:46:59+05:30,open,,SCORES-SEED-38623
TK-029731,,9000060403,support,Bank account not showing after the fetch,Ticket raised in the app (H07): bank account not showing after the fetch. Stage S14. Tier difm. Last screen H07. Last integration failure: none.,2026-09-21T12:17:52+05:30,2026-09-22T12:17:52+05:30,resolved,2026-09-22T17:09:39+05:30,
TK-029751,,9000015626,support,Change my registered mobile,Ticket raised in the app (H07): change my registered mobile. Stage S14. Tier difm. Last screen H07. Last integration failure: none.,2026-08-28T09:07:40+05:30,2026-08-31T09:07:40+05:30,resolved,2026-08-29T19:13:06+05:30,
TK-029801,chaitanya.shetty.417@example.com,9000006667,support,Change my registered mobile,Ticket raised in the app (H07): change my registered mobile. Stage S9. Tier diwm. Last screen H07. Last integration failure: none.,2026-07-25T15:26:06+05:30,2026-07-27T15:26:06+05:30,resolved,2026-07-26T21:51:29+05:30,
TK-029831,sakshi.rathore.420@example.com,9000092219,support,Cannot find my plan PDF,Ticket raised in the app (H07): cannot find my plan pdf. Stage S17. Tier diy. Last screen H07. Last integration failure: none.,2026-09-22T16:12:33+05:30,2026-09-23T16:12:33+05:30,open,,
TK-029841,sagar.mehta.458@example.com,9000035329,support,Cannot find my plan PDF,Ticket raised in the app (H07): cannot find my plan pdf. Stage S3. Tier diy. Last screen H07. Last integration failure: none.,2026-09-18T18:28:30+05:30,2026-09-21T18:28:30+05:30,resolved,2026-09-21T07:11:26+05:30,
TK-029851,meera.mehra.422@example.com,9000053004,support,Cannot find my plan PDF,Ticket raised in the app (H07): cannot find my plan pdf. Stage S17. Tier diwm. Last screen H07. Last integration failure: none.,2026-09-20T14:28:15+05:30,2026-09-21T14:28:15+05:30,resolved,2026-09-21T07:52:37+05:30,
TK-029871,yogesh.shah.461@example.com,9000007114,support,Bank account not showing after the fetch,Ticket raised in the app (H07): bank account not showing after the fetch. Stage S17. Tier diy. Last screen H07. Last integration failure: I12 send failed.,2026-09-21T12:18:50+05:30,2026-09-22T12:18:50+05:30,resolved,2026-09-22T20:46:45+05:30,
TK-029881,pranali.chitale.425@example.com,9000074094,support,Bank account not showing after the fetch,Ticket raised in the app (H07): bank account not showing after the fetch. Stage S18. Tier diwm. Last screen H07. Last integration failure: none.,2026-08-10T13:46:15+05:30,2026-08-11T13:46:15+05:30,open,,
TK-029911,rutuja.jain.428@example.com,9000055003,adviser_message,Is my term cover enough,Ticket raised in the app (H07): is my term cover enough. Stage S18. Tier diwm. Last screen H07. Last integration failure: I12 send failed.,2026-09-04T09:19:25+05:30,2026-09-07T09:19:25+05:30,resolved,2026-09-08T07:38:26+05:30,
TK-029921,meera.verma.429@example.com,9000096752,adviser_message,Should I prepay the home loan,Ticket raised in the app (H07): should i prepay the home loan. Stage S5. Tier diwm. Last screen H07. Last integration failure: I06 kra_fetch failed.,2026-07-14T09:41:30+05:30,2026-07-15T09:41:30+05:30,resolved,2026-07-15T08:56:30+05:30,
TK-029931,vidya.iyer.467@example.com,9000050873,support,SIP date wrong on the calendar,Ticket raised in the app (H07): sip date wrong on the calendar. Stage S11. Tier diwm. Last screen H07. Last integration failure: none.,2026-09-15T12:23:56+05:30,2026-09-16T12:23:56+05:30,resolved,2026-09-16T10:22:25+05:30,
TK-029981,suresh.rajan.472@example.com,9000011460,support,Cannot find my plan PDF,Ticket raised in the app (H07): cannot find my plan pdf. Stage S19. Tier diwm. Last screen H07. Last integration failure: none.,2026-09-09T19:18:47+05:30,2026-09-10T19:18:47+05:30,resolved,2026-09-10T08:48:23+05:30,
TK-030051,tejas.joshi.442@example.com,9000064308,support,SIP date wrong on the calendar,Ticket raised in the app (H07): sip date wrong on the calendar. Stage S7. Tier diwm. Last screen H07. Last integration failure: none.,2026-09-21T19:00:18+05:30,2026-09-22T19:00:18+05:30,resolved,2026-09-22T06:33:04+05:30,
TK-030061,ishita.pandey.443@example.com,9000037738,adviser_message,Question on my SIP amounts,Ticket raised in the app (H07): question on my sip amounts. Stage S8. Tier diwm. Last screen H07. Last integration failure: I12 send failed.,2026-08-05T22:13:50+05:30,2026-08-06T22:13:50+05:30,resolved,2026-08-06T20:28:51+05:30,
TK-030131,ganesh.iyer.450@example.com,9000032734,adviser_message,What changed in my updated plan,Ticket raised in the app (H07): what changed in my updated plan. Stage S21. Tier diwm. Last screen H07. Last integration failure: I01 fi_fetch failed.,2026-08-18T09:36:43+05:30,2026-08-19T09:36:43+05:30,resolved,2026-08-18T17:37:10+05:30,
TK-030141,aravind.pai.451@example.com,9000015136,adviser_message,Question on my SIP amounts,Ticket raised in the app (H07): question on my sip amounts. Stage S11. Tier diwm. Last screen H07. Last integration failure: I09 checkout failed.,2026-09-11T11:43:10+05:30,2026-09-14T11:43:10+05:30,resolved,2026-09-15T02:09:38+05:30,
TK-030281,madhura.chitale.465@example.com,9000035116,adviser_message,What changed in my updated plan,Ticket raised in the app (H07): what changed in my updated plan. Stage S3. Tier diwm. Last screen H07. Last integration failure: none.,2026-09-16T10:24:34+05:30,2026-09-17T10:24:34+05:30,resolved,2026-09-16T18:19:03+05:30,
TK-030291,rohan.gill.466@example.com,9000010356,support,CAS upload did not go through,Ticket raised in the app (H07): cas upload did not go through. Stage S24. Tier diwm. Last screen H07. Last integration failure: I01 fi_fetch timeout.,2026-09-20T23:39:18+05:30,2026-09-21T23:39:18+05:30,open,,
TK-030311,ketan.shinde.505@example.com,9000010092,support,Cannot find my plan PDF,Ticket raised in the app (H07): cannot find my plan pdf. Stage S24. Tier diy. Last screen H07. Last integration failure: none.,2026-09-19T19:08:30+05:30,2026-09-21T19:08:30+05:30,resolved,2026-09-20T16:03:35+05:30,
