Ticket External ID,Contact Email,Contact Phone,Category,Subject,Description,Created At,SLA Due,Status,Resolved At,SCORES Ref
TK-004711,ganesh.shetty.608@example.com,9000028313,support,Bank account not showing after the fetch,Ticket raised in the app (H07): bank account not showing after the fetch. Stage S9. Tier diy. Last screen H07. Last integration failure: none.,2026-09-08T09:26:23+05:30,2026-09-09T09:26:23+05:30,resolved,2026-09-09T10:18:03+05:30,
TK-004791,vishnu.menon.616@example.com,9000087862,support,Cannot find my plan PDF,Ticket raised in the app (H07): cannot find my plan pdf. Stage S9. Tier diwm. Last screen H07. Last integration failure: I01 fi_fetch timeout.,2026-07-26T12:28:56+05:30,2026-07-27T12:28:56+05:30,resolved,2026-07-27T08:03:30+05:30,
TK-004801,chaitanya.krishnan.617@example.com,9000095204,support,Change my registered mobile,Ticket raised in the app (H07): change my registered mobile. Stage S9. Tier diwm. Last screen H07. Last integration failure: none.,2026-07-31T09:45:30+05:30,2026-08-03T09:45:30+05:30,resolved,2026-08-04T11:46:53+05:30,
TK-004831,pranali.jain.620@example.com,9000022672,adviser_message,Question on my SIP amounts,Ticket raised in the app (H07): question on my sip amounts. Stage S13. Tier diwm. Last screen H07. Last integration failure: I09 checkout failed.,2026-09-09T17:57:55+05:30,2026-09-10T17:57:55+05:30,resolved,2026-09-10T08:48:11+05:30,
TK-004832,pranali.jain.620@example.com,9000022672,grievance,Advice did not match what I told you,Ticket raised in the app (H07): advice did not match what i told you. Stage S13. Tier diwm. Last screen H07. Last integration failure: I09 checkout failed.,2026-08-28T07:10:30+05:30,2026-08-31T07:10:30+05:30,resolved,2026-08-29T16:25:05+05:30,SCORES-SEED-06279
TK-004861,,9000028951,grievance,Call cancelled without notice,Ticket raised in the app (H07): call cancelled without notice. Stage S14. Tier difm. Last screen H07. Last integration failure: I01 fi_fetch failed.,2026-07-07T20:15:22+05:30,2026-07-08T20:15:22+05:30,open,,SCORES-SEED-06318
TK-004871,deepa.hegde.624@example.com,9000034791,support,Change my registered mobile,Ticket raised in the app (H07): change my registered mobile. Stage S8. Tier diy. Last screen H07. Last integration failure: none.,2026-09-02T21:40:53+05:30,2026-09-03T21:40:53+05:30,resolved,2026-09-04T04:35:14+05:30,
TK-004891,ganesh.subramanian.626@example.com,9000085383,adviser_message,Question on my SIP amounts,Ticket raised in the app (H07): question on my sip amounts. Stage S17. Tier diwm. Last screen H07. Last integration failure: I12 send failed.,2026-09-21T17:25:19+05:30,2026-09-22T17:25:19+05:30,open,,
TK-004911,indrani.mitra.628@example.com,9000047058,adviser_message,What changed in my updated plan,Ticket raised in the app (H07): what changed in my updated plan. Stage S11. Tier diwm. Last screen H07. Last integration failure: I01 fi_fetch failed.,2026-09-14T09:22:37+05:30,2026-09-15T09:22:37+05:30,resolved,2026-09-14T16:58:28+05:30,
TK-004981,dhruv.desai.635@example.com,9000055371,adviser_message,Is my term cover enough,Ticket raised in the app (H07): is my term cover enough. Stage S21. Tier diwm. Last screen H07. Last integration failure: none.,2026-06-19T10:15:44+05:30,2026-06-22T10:15:44+05:30,resolved,2026-06-21T00:22:39+05:30,
TK-005051,sameer.desai.642@example.com,9000004528,support,"Payment debited, plan still locked","Ticket raised in the app (H07): payment debited, plan still locked. Stage S9. Tier diy. Last screen H07. Last integration failure: I11 send failed.",2026-07-08T17:08:45+05:30,2026-07-09T17:08:45+05:30,resolved,2026-07-09T08:38:05+05:30,
