Event External ID,Contact External ID,Event,Screen,At,Props
EV0000087,P00001,data_progress,D12d,2025-08-28T08:04:17+05:30,"{""pct_complete"":47,""step_id"":""expenses""}"
EV0000099,P00001,data_progress,D12e,2025-08-28T08:08:57+05:30,"{""pct_complete"":61,""step_id"":""investments""}"
EV0000102,P00001,data_progress,D12f,2025-08-28T08:09:12+05:30,"{""pct_complete"":69,""step_id"":""loans""}"
EV0000121,P00001,data_progress,D12g,2025-08-28T22:54:38+05:30,"{""pct_complete"":78,""step_id"":""insurance""}"
EV0000133,P00001,data_progress,D12h,2025-08-28T22:58:41+05:30,"{""pct_complete"":86,""step_id"":""goals""}"
EV0000144,P00001,state_enter_S5,D10,2025-08-28T23:00:53+05:30,"{""from_state"":""S4"",""state"":""S5""}"
EV0000146,P00001,data_complete,D10,2025-08-28T23:21:18+05:30,{}
EV0000147,P00001,plan_built,D10,2025-08-28T23:21:39+05:30,"{""assumed_count"":0,""assumptions_version"":""A1"",""band_count"":11,""built_on"":""full"",""instrument_set_version"":""I1"",""plan_version"":""v1"",""unknown_count"":0}"
EV0000148,P00001,state_enter_S6,H01a,2025-08-28T23:21:39+05:30,"{""from_state"":""S5"",""state"":""S6""}"
EV0000151,P00001,plan_read,G03,2025-08-29T04:06:10+05:30,{}
EV0000152,P00001,state_enter_S8,H01b,2025-08-29T04:06:10+05:30,"{""from_state"":""S6"",""state"":""S8""}"
EV0000165,P00001,state_enter_S9,H01c,2025-09-02T04:31:42+05:30,"{""from_state"":""S8"",""state"":""S9""}"
EV0000175,P00001,action_done,E06,2025-09-02T07:06:43+05:30,"{""done_count"":1,""total_count"":5,""verification"":""aa_verified"",""verified"":true}"
EV0000194,P00001,action_done,E06,2025-10-02T22:51:33+05:30,"{""done_count"":2,""total_count"":5,""verification"":""self_reported"",""verified"":false}"
EV0000233,P00001,action_done,E06,2025-11-14T04:52:34+05:30,"{""done_count"":3,""total_count"":5,""verification"":""self_reported"",""verified"":false}"
EV0000249,P00001,review_due,Q01,2025-11-26T23:21:39+05:30,"{""review_id"":""RV-00501-1""}"
EV0000258,P00001,review_done,Q01,2025-12-02T04:01:09+05:30,"{""review_id"":""RV-00501-1""}"
EV0000259,P00001,plan_updated,H05,2025-12-02T04:02:09+05:30,"{""from_version"":""v1"",""reason"":""review"",""to_version"":""v2""}"
EV0000261,P00001,update_accepted,H05,2025-12-02T04:03:09+05:30,"{""to_version"":""v2""}"
EV0000276,P00001,action_done,E06,2025-12-13T05:26:07+05:30,"{""done_count"":4,""total_count"":5,""verification"":""platform"",""verified"":true}"
EV0000292,P00001,state_enter_S10,H01d,2026-01-10T01:34:14+05:30,"{""from_state"":""S9"",""state"":""S10""}"
EV0000293,P00001,action_done,E06,2026-01-10T01:34:16+05:30,"{""done_count"":5,""total_count"":5,""verification"":""aa_verified"",""verified"":true}"
EV0000304,P00001,review_due,Q01,2026-02-24T23:21:39+05:30,"{""review_id"":""RV-00501-2""}"
EV0000310,P00001,review_done,Q01,2026-03-06T14:46:33+05:30,"{""review_id"":""RV-00501-2""}"
EV0000311,P00001,plan_updated,H05,2026-03-06T14:47:33+05:30,"{""from_version"":""v2"",""reason"":""review"",""to_version"":""v3""}"
EV0000313,P00001,update_accepted,H05,2026-03-06T14:48:33+05:30,"{""to_version"":""v3""}"
EV0000351,P00001,review_due,Q01,2026-05-25T23:21:39+05:30,"{""review_id"":""RV-00501-3""}"
EV0000357,P00001,review_done,Q01,2026-05-30T18:11:12+05:30,"{""review_id"":""RV-00501-3""}"
EV0000358,P00001,plan_updated,H05,2026-05-30T18:12:12+05:30,"{""from_version"":""v3"",""reason"":""review"",""to_version"":""v4""}"
EV0000360,P00001,update_accepted,H05,2026-05-30T18:13:12+05:30,"{""to_version"":""v4""}"
EV0000374,P00001,plan_updated,H05,2026-07-10T10:29:34+05:30,"{""from_version"":""v4"",""reason"":""publish"",""to_version"":""v5""}"
EV0000375,P00001,state_enter_S11,H01e,2026-07-10T10:29:34+05:30,"{""from_state"":""S10"",""state"":""S11""}"
EV0000379,P00001,update_accepted,H05,2026-07-10T16:03:33+05:30,"{""to_version"":""v5""}"
EV0000380,P00001,state_enter_S10,H01d,2026-07-10T16:03:33+05:30,"{""from_state"":""S11"",""state"":""S10""}"
EV0000395,P00001,rpq_due,Q04,2026-08-17T19:08:07+05:30,"{""due_date"":""2026-08-24""}"
EV0000396,P00001,agreement_due,Q04,2026-08-17T19:08:07+05:30,"{""due_date"":""2026-08-24""}"
EV0000399,P00001,payment_failed,Q03b,2026-08-19T19:08:07+05:30,"{""grace_until"":""2026-08-26""}"
EV0000400,P00001,state_enter_S12,H01f,2026-08-19T19:08:07+05:30,"{""from_state"":""S10"",""state"":""S12""}"
EV0000403,P00001,review_due,Q01,2026-08-23T23:21:39+05:30,"{""review_id"":""RV-00501-4""}"
EV0000407,P00001,review_done,Q01,2026-08-24T18:30:01+05:30,"{""review_id"":""RV-00501-4""}"
EV0000408,P00001,plan_updated,H05,2026-08-24T18:31:01+05:30,"{""from_version"":""v5"",""reason"":""review"",""to_version"":""v6""}"
EV0000410,P00001,update_accepted,H05,2026-08-24T18:32:01+05:30,"{""to_version"":""v6""}"
EV0000413,P00001,lapsed,Q03c,2026-08-26T19:08:07+05:30,"{""reason"":""payment not recovered in grace""}"
EV0000414,P00001,state_enter_S13,H01g,2026-08-26T19:08:07+05:30,"{""from_state"":""S12"",""state"":""S13""}"
EV0000416,P00001,plan_updated,H05,2026-09-11T14:38:04+05:30,"{""from_version"":""v6"",""reason"":""publish"",""to_version"":""v7""}"
EV0000418,P00001,resubscribed,Q03,2026-09-14T16:06:24+05:30,"{""amount"":""Rs ___"",""mandate_status"":""active"",""period"":""monthly"",""razorpay_ids"":{""customer_id"":""cust_SEED00001"",""subscription_or_txn_id"":""sub_SEED000012""},""reason"":""resubscribed after lapse"",""sku"":""diy""}"
EV0000419,P00001,state_enter_S11,H01e,2026-09-14T16:06:24+05:30,"{""from_state"":""S13"",""state"":""S11""}"
EV0000424,P00001,update_accepted,H05,2026-09-20T05:33:37+05:30,"{""to_version"":""v7""}"
EV0000425,P00001,state_enter_S23,Q04,2026-09-20T05:33:37+05:30,"{""from_state"":""S11"",""state"":""S23""}"
EV0000429,P00002,signed_up,A03,2025-09-05T17:54:21+05:30,"{""device"":""android"",""phone"":""9000080034"",""source"":""community"",""whatsapp_optin"":true}"
EV0000430,P00002,state_enter_S1,R01,2025-09-05T17:54:21+05:30,"{""from_state"":null,""state"":""S1""}"
EV0000442,P00002,reveal_seen,R09,2025-09-05T21:36:06+05:30,"{""age_band"":""35 to 39"",""aspiration"":""Legacy"",""city"":""Chennai"",""corpus_band"":""5 to 25 lakhs"",""income_band"":""Over 1 crore"",""journey_feel"":""Some hits and some misses, it has been mixed"",""path_now_band"":""over 20 Cr"",""path_yes_band"":""over 20 Cr"",""savings_band"":""More than 40%, I live well below my means""}"
EV0000443,P00002,state_enter_S2,X01,2025-09-05T21:36:06+05:30,"{""from_state"":""S1"",""state"":""S2""}"
EV0000447,P00002,paywall_viewed,P01,2025-09-08T21:54:36+05:30,"{""from_state"":""S2"",""sku_expanded"":""diwm""}"
EV0000449,P00002,state_enter_S2b,P03,2025-09-08T21:55:06+05:30,"{""from_state"":""S2"",""state"":""S2b""}"
EV0000451,P00002,esign_done,P03,2025-09-08T22:00:50+05:30,"{""agreement_version"":""AGR v1 (to be verified: agreement template versions)"",""esign_ref"":""ESIGN-SEED-003525""}"
EV0000452,P00002,state_enter_S2c,P04,2025-09-08T22:00:50+05:30,"{""from_state"":""S2b"",""state"":""S2c""}"
EV0000454,P00002,paid,P05,2025-09-08T22:06:34+05:30,"{""amount"":""Rs ___"",""mandate_status"":""none (charged per period)"",""period"":""monthly"",""razorpay_ids"":{""customer_id"":""cust_SEED00002"",""subscription_or_txn_id"":""pay_SEED000021""},""sku"":""diwm""}"
EV0000455,P00002,state_enter_S3,O02,2025-09-08T22:06:34+05:30,"{""from_state"":""S2c"",""state"":""S3""}"
EV0000465,P00002,state_enter_S17,A10a,2025-09-11T08:01:39+05:30,"{""from_state"":""S3"",""state"":""S17""}"
EV0000470,P00002,state_enter_S3,O02,2025-09-11T16:33:12+05:30,"{""from_state"":""S17"",""state"":""S3""}"
EV0000474,P00002,state_enter_S4,O02,2025-09-11T16:38:56+05:30,"{""from_state"":""S3"",""state"":""S4""}"
EV0000479,P00002,data_progress,D12a,2025-09-11T16:42:24+05:30,"{""pct_complete"":31,""step_id"":""family""}"
EV0000490,P00002,data_progress,D12b,2025-09-11T16:44:02+05:30,"{""pct_complete"":39,""step_id"":""risk""}"
EV0000505,P00002,data_progress,D12c,2025-09-17T20:19:16+05:30,"{""pct_complete"":40,""step_id"":""income""}"
EV0000521,P00002,data_progress,D12d,2025-09-17T20:23:14+05:30,"{""pct_complete"":48,""step_id"":""expenses""}"
EV0000545,P00002,data_progress,D12e,2025-09-17T20:31:21+05:30,"{""pct_complete"":66,""step_id"":""investments""}"
EV0000546,P00002,state_enter_S19,O02,2025-09-18T16:38:56+05:30,"{""from_state"":""S4"",""state"":""S19""}"
EV0000558,P00002,data_progress,D12f,2025-09-18T21:55:24+05:30,"{""pct_complete"":74,""step_id"":""loans""}"
EV0000568,P00002,data_progress,D12g,2025-09-18T21:57:26+05:30,"{""pct_complete"":82,""step_id"":""insurance""}"
EV0000572,P00002,data_progress,D12h,2025-09-18T21:57:50+05:30,"{""pct_complete"":90,""step_id"":""goals""}"
EV0000582,P00002,state_enter_S5,D10,2025-09-18T21:59:48+05:30,"{""from_state"":""S19"",""state"":""S5""}"
EV0000586,P00002,data_complete,D10,2025-09-25T08:02:13+05:30,{}
EV0000587,P00002,plan_built,D10,2025-09-25T08:02:52+05:30,"{""assumed_count"":0,""assumptions_version"":""A1"",""band_count"":11,""built_on"":""full"",""instrument_set_version"":""I1"",""plan_version"":""v1"",""unknown_count"":0}"
EV0000588,P00002,state_enter_S6,H01a,2025-09-25T08:02:52+05:30,"{""from_state"":""S5"",""state"":""S6""}"
EV0000594,P00002,plan_read,G03,2025-10-05T02:39:59+05:30,{}
EV0000595,P00002,state_enter_S8,H01b,2025-10-05T02:39:59+05:30,"{""from_state"":""S6"",""state"":""S8""}"
EV0000605,P00002,call_booked,K01,2025-10-07T10:02:03+05:30,"{""adviser_id"":""adv03"",""slot"":""2025-10-13T15:00:00+05:30"",""summary"":""call booked: something changed"",""tier"":""diwm"",""topic"":""Something changed""}"
EV0000606,P00002,state_enter_S7,K02,2025-10-07T10:02:03+05:30,"{""from_state"":""S8"",""state"":""S7""}"
EV0000612,P00002,state_enter_S21,K03,2025-10-13T15:45:00+05:30,"{""from_state"":""S7"",""state"":""S21""}"
EV0000613,P00002,plan_updated,H05,2025-10-13T15:46:00+05:30,"{""from_version"":""v1"",""reason"":""update"",""to_version"":""v2""}"
EV0000615,P00002,call_completed,K03,2025-10-13T15:47:00+05:30,"{""adviser_id"":""adv03"",""slot"":""2025-10-13T15:00:00+05:30"",""summary"":""Walked through something changed; next step agreed.""}"
EV0000617,P00002,update_accepted,H05,2025-10-13T15:49:03+05:30,"{""to_version"":""v2""}"
EV0000624,P00002,state_enter_S9,H01c,2025-10-23T04:54:42+05:30,"{""from_state"":""S21"",""state"":""S9""}"
EV0000631,P00002,action_done,E06,2025-10-23T18:27:55+05:30,"{""done_count"":1,""total_count"":7,""verification"":""aa_verified"",""verified"":true}"
EV0000669,P00002,action_done,E06,2025-11-23T04:37:45+05:30,"{""done_count"":2,""total_count"":7,""verification"":""platform"",""verified"":true}"
EV0000685,P00002,action_done,E06,2025-12-07T02:47:36+05:30,"{""done_count"":3,""total_count"":7,""verification"":""aa_verified"",""verified"":true}"
EV0000692,P00002,action_done,E06,2025-12-16T19:15:26+05:30,"{""done_count"":4,""total_count"":7,""verification"":""self_reported"",""verified"":false}"
EV0000693,P00002,review_due,Q01,2025-12-24T08:02:52+05:30,"{""review_id"":""RV-00502-1""}"
EV0000700,P00002,review_done,Q01,2025-12-29T06:24:19+05:30,"{""review_id"":""RV-00502-1""}"
EV0000701,P00002,plan_updated,H05,2025-12-29T06:25:19+05:30,"{""from_version"":""v2"",""reason"":""review"",""to_version"":""v3""}"
EV0000703,P00002,update_accepted,H05,2025-12-29T06:26:19+05:30,"{""to_version"":""v3""}"
EV0000715,P00002,action_done,E06,2026-01-20T13:47:31+05:30,"{""done_count"":5,""total_count"":7,""verification"":""platform"",""verified"":true}"
EV0000743,P00002,action_done,E06,2026-02-22T14:04:52+05:30,"{""done_count"":6,""total_count"":7,""verification"":""platform"",""verified"":true}"
EV0000768,P00002,state_enter_S10,H01d,2026-03-11T13:14:08+05:30,"{""from_state"":""S9"",""state"":""S10""}"
EV0000770,P00002,action_done,E06,2026-03-11T13:14:10+05:30,"{""done_count"":7,""total_count"":7,""verification"":""self_reported"",""verified"":false}"
EV0000778,P00002,review_due,Q01,2026-03-24T08:02:52+05:30,"{""review_id"":""RV-00502-2""}"
EV0000786,P00002,review_done,Q01,2026-03-31T06:04:01+05:30,"{""review_id"":""RV-00502-2""}"
EV0000787,P00002,plan_updated,H05,2026-03-31T06:05:01+05:30,"{""from_version"":""v3"",""reason"":""review"",""to_version"":""v4""}"
EV0000789,P00002,update_accepted,H05,2026-03-31T06:06:01+05:30,"{""to_version"":""v4""}"
EV0000816,P00002,review_due,Q01,2026-06-22T08:02:52+05:30,"{""review_id"":""RV-00502-3""}"
EV0000820,P00002,review_done,Q01,2026-06-25T11:19:24+05:30,"{""review_id"":""RV-00502-3""}"
EV0000821,P00002,plan_updated,H05,2026-06-25T11:20:24+05:30,"{""from_version"":""v4"",""reason"":""review"",""to_version"":""v5""}"
EV0000823,P00002,update_accepted,H05,2026-06-25T11:21:24+05:30,"{""to_version"":""v5""}"
EV0000827,P00002,plan_updated,H05,2026-07-10T11:13:19+05:30,"{""from_version"":""v5"",""reason"":""publish"",""to_version"":""v6""}"
EV0000828,P00002,state_enter_S11,H01e,2026-07-10T11:13:19+05:30,"{""from_state"":""S10"",""state"":""S11""}"
EV0000833,P00002,update_accepted,H05,2026-07-14T01:30:38+05:30,"{""to_version"":""v6""}"
EV0000834,P00002,state_enter_S10,H01d,2026-07-14T01:30:38+05:30,"{""from_state"":""S11"",""state"":""S10""}"
EV0000853,P00002,rpq_due,Q04,2026-09-01T22:06:34+05:30,"{""due_date"":""2026-09-08""}"
EV0000854,P00002,agreement_due,Q04,2026-09-01T22:06:34+05:30,"{""due_date"":""2026-09-08""}"
EV0000859,P00002,state_enter_S23,Q04,2026-09-08T22:06:34+05:30,"{""from_state"":""S10"",""state"":""S23""}"
EV0000861,P00002,plan_updated,H05,2026-09-11T09:44:09+05:30,"{""from_version"":""v6"",""reason"":""publish"",""to_version"":""v7""}"
EV0000862,P00002,state_enter_S11,H01e,2026-09-11T09:44:09+05:30,"{""from_state"":""S23"",""state"":""S11""}"
EV0000869,P00002,update_accepted,H05,2026-09-18T18:46:36+05:30,"{""to_version"":""v7""}"
EV0000870,P00002,state_enter_S23,Q04,2026-09-18T18:46:36+05:30,"{""from_state"":""S11"",""state"":""S23""}"
EV0000871,P00002,review_due,Q01,2026-09-20T08:02:52+05:30,"{""review_id"":""RV-00502-4""}"
EV0000875,P00002,review_done,Q01,2026-09-20T20:47:07+05:30,"{""review_id"":""RV-00502-4""}"
EV0000876,P00002,plan_updated,H05,2026-09-20T20:48:07+05:30,"{""from_version"":""v7"",""reason"":""review"",""to_version"":""v8""}"
EV0000878,P00002,update_accepted,H05,2026-09-20T20:49:07+05:30,"{""to_version"":""v8""}"
EV0000884,P00003,signed_up,A03,2026-04-05T10:20:12+05:30,"{""device"":""android"",""phone"":""9000013239"",""source"":""corporate_session"",""whatsapp_optin"":true}"
EV0000885,P00003,state_enter_S1,R01,2026-04-05T10:20:12+05:30,"{""from_state"":null,""state"":""S1""}"
EV0000897,P00003,reveal_seen,R09,2026-04-06T05:32:19+05:30,"{""age_band"":""30 to 34"",""aspiration"":""Freedom"",""city"":""Bhubaneswar"",""corpus_band"":""5 to 25 lakhs"",""income_band"":""10 to 25 lakhs"",""journey_feel"":""Some hits and some misses, it has been mixed"",""path_now_band"":""5 to 10 Cr"",""path_yes_band"":""10 to 20 Cr"",""savings_band"":""More than 40%, I live well below my means""}"
EV0000898,P00003,state_enter_S2,X01,2026-04-06T05:32:19+05:30,"{""from_state"":""S1"",""state"":""S2""}"
EV0000905,P00003,ticket_created,H07,2026-07-21T12:13:04+05:30,"{""category"":""support"",""ticket_id"":""TK-004311""}"
EV0000909,P00004,signed_up,A03,2026-04-01T03:22:33+05:30,"{""device"":""android"",""phone"":""9000058857"",""source"":""web_reveal"",""whatsapp_optin"":true}"
EV0000910,P00004,state_enter_S1,R01,2026-04-01T03:22:33+05:30,"{""from_state"":null,""state"":""S1""}"
EV0000922,P00004,reveal_seen,R09,2026-04-01T13:44:23+05:30,"{""age_band"":""30 to 34"",""aspiration"":""Legacy"",""city"":""Ahmedabad"",""corpus_band"":""5 to 25 lakhs"",""income_band"":""10 to 25 lakhs"",""journey_feel"":""Very good, mostly things have worked out well"",""path_now_band"":""5 to 10 Cr"",""path_yes_band"":""5 to 10 Cr"",""savings_band"":""Around 25%, meaningful amounts""}"
EV0000923,P00004,state_enter_S2,X01,2026-04-01T13:44:23+05:30,"{""from_state"":""S1"",""state"":""S2""}"
EV0000937,P00005,signed_up,A03,2026-04-01T16:27:21+05:30,"{""device"":""android"",""phone"":""9000081548"",""source"":""organic"",""whatsapp_optin"":true}"
EV0000938,P00005,state_enter_S1,R01,2026-04-01T16:27:21+05:30,"{""from_state"":null,""state"":""S1""}"
EV0000950,P00005,reveal_seen,R09,2026-04-01T18:25:26+05:30,"{""age_band"":""25 to 29"",""aspiration"":""Legacy"",""city"":""Mumbai"",""corpus_band"":""5 to 25 lakhs"",""income_band"":""25 to 50 lakhs"",""journey_feel"":""Not so good, I can do better"",""path_now_band"":""5 to 10 Cr"",""path_yes_band"":""10 to 20 Cr"",""savings_band"":""More than 40%, I live well below my means""}"
EV0000951,P00005,state_enter_S2,X01,2026-04-01T18:25:26+05:30,"{""from_state"":""S1"",""state"":""S2""}"
EV0000959,P00006,signed_up,A03,2026-04-04T17:50:36+05:30,"{""device"":""ios"",""phone"":""9000076314"",""source"":""community"",""whatsapp_optin"":true}"
EV0000960,P00006,state_enter_S1,R01,2026-04-04T17:50:36+05:30,"{""from_state"":null,""state"":""S1""}"
EV0000969,P00007,signed_up,A03,2026-04-04T19:29:59+05:30,"{""device"":""android"",""phone"":""9000092379"",""source"":""community"",""whatsapp_optin"":true}"
EV0000970,P00007,state_enter_S1,R01,2026-04-04T19:29:59+05:30,"{""from_state"":null,""state"":""S1""}"
EV0000979,P00010,signed_up,A03,2026-04-07T03:02:45+05:30,"{""device"":""android"",""phone"":""9000053078"",""source"":""referral"",""whatsapp_optin"":true}"
EV0000980,P00010,state_enter_S1,R01,2026-04-07T03:02:45+05:30,"{""from_state"":null,""state"":""S1""}"
EV0000992,P00010,reveal_seen,R09,2026-04-07T09:39:28+05:30,"{""age_band"":""25 to 29"",""aspiration"":""Security"",""city"":""Bengaluru"",""corpus_band"":""5 to 25 lakhs"",""income_band"":""10 to 25 lakhs"",""journey_feel"":""Very good, mostly things have worked out well"",""path_now_band"":""10 to 20 Cr"",""path_yes_band"":""over 20 Cr"",""savings_band"":""More than 40%, I live well below my means""}"
EV0000993,P00010,state_enter_S2,X01,2026-04-07T09:39:28+05:30,"{""from_state"":""S1"",""state"":""S2""}"
EV0000996,P00010,paywall_viewed,P01,2026-04-07T11:23:52+05:30,"{""from_state"":""S2"",""sku_expanded"":""diwm""}"
EV0000998,P00010,state_enter_S2b,P03,2026-04-07T11:24:22+05:30,"{""from_state"":""S2"",""state"":""S2b""}"
EV0001000,P00010,esign_done,P03,2026-04-07T11:28:37+05:30,"{""agreement_version"":""AGR v1 (to be verified: agreement template versions)"",""esign_ref"":""ESIGN-SEED-003343""}"
EV0001001,P00010,state_enter_S2c,P04,2026-04-07T11:28:37+05:30,"{""from_state"":""S2b"",""state"":""S2c""}"
EV0001003,P00010,paid,P05,2026-04-07T11:32:53+05:30,"{""amount"":""Rs ___"",""mandate_status"":""active"",""period"":""monthly"",""razorpay_ids"":{""customer_id"":""cust_SEED00010"",""subscription_or_txn_id"":""sub_SEED000101""},""sku"":""diwm""}"
EV0001004,P00010,state_enter_S3,O02,2026-04-07T11:32:53+05:30,"{""from_state"":""S2c"",""state"":""S3""}"
EV0001012,P00010,state_enter_S4,O02,2026-04-07T15:27:11+05:30,"{""from_state"":""S3"",""state"":""S4""}"
EV0001014,P00010,data_progress,D12a,2026-04-07T15:27:26+05:30,"{""pct_complete"":27,""step_id"":""family""}"
EV0001025,P00010,data_progress,D12b,2026-04-07T15:29:16+05:30,"{""pct_complete"":35,""step_id"":""risk""}"
EV0001032,P00010,data_progress,D12c,2026-04-07T15:31:41+05:30,"{""pct_complete"":38,""step_id"":""income""}"
EV0001052,P00010,data_progress,D12d,2026-04-07T15:37:08+05:30,"{""pct_complete"":49,""step_id"":""expenses""}"
EV0001070,P00010,data_progress,D12e,2026-04-07T15:43:03+05:30,"{""pct_complete"":66,""step_id"":""investments""}"
EV0001079,P00010,data_progress,D12f,2026-04-07T15:45:19+05:30,"{""pct_complete"":74,""step_id"":""loans""}"
EV0001082,P00010,data_progress,D12g,2026-04-07T15:45:36+05:30,"{""pct_complete"":82,""step_id"":""insurance""}"
EV0001099,P00010,data_progress,D12h,2026-04-07T15:51:29+05:30,"{""pct_complete"":89,""step_id"":""goals""}"
EV0001110,P00010,state_enter_S5,D10,2026-04-13T10:47:08+05:30,"{""from_state"":""S4"",""state"":""S5""}"
EV0001113,P00010,data_complete,D10,2026-04-18T08:40:15+05:30,{}
EV0001114,P00010,plan_built,D10,2026-04-18T08:40:58+05:30,"{""assumed_count"":0,""assumptions_version"":""A1"",""band_count"":5,""built_on"":""full"",""instrument_set_version"":""I1"",""plan_version"":""v1"",""unknown_count"":0}"
EV0001115,P00010,state_enter_S6,H01a,2026-04-18T08:40:58+05:30,"{""from_state"":""S5"",""state"":""S6""}"
EV0001118,P00010,plan_read,G03,2026-04-18T09:14:39+05:30,{}
EV0001119,P00010,state_enter_S8,H01b,2026-04-18T09:14:39+05:30,"{""from_state"":""S6"",""state"":""S8""}"
EV0001139,P00010,call_booked,K01,2026-05-07T16:07:07+05:30,"{""adviser_id"":""adv02"",""slot"":""2026-05-09T16:30:00+05:30"",""summary"":""call booked: the investments and why they were chosen"",""tier"":""diwm"",""topic"":""The investments and why they were chosen""}"
EV0001140,P00010,state_enter_S7,K02,2026-05-07T16:07:07+05:30,"{""from_state"":""S8"",""state"":""S7""}"
EV0001144,P00010,state_enter_S21,K03,2026-05-09T17:15:00+05:30,"{""from_state"":""S7"",""state"":""S21""}"
EV0001146,P00010,call_completed,K03,2026-05-09T17:17:00+05:30,"{""adviser_id"":""adv02"",""slot"":""2026-05-09T16:30:00+05:30"",""summary"":""Walked through the investments and why they were chosen; next step agreed.""}"
EV0001151,P00010,state_enter_S9,H01c,2026-05-17T15:22:38+05:30,"{""from_state"":""S21"",""state"":""S9""}"
EV0001157,P00010,action_done,E06,2026-05-21T02:37:21+05:30,"{""done_count"":1,""total_count"":4,""verification"":""platform"",""verified"":true}"
EV0001197,P00010,action_done,E06,2026-06-23T17:00:59+05:30,"{""done_count"":2,""total_count"":4,""verification"":""aa_verified"",""verified"":true}"
EV0001202,P00010,call_booked,K01,2026-07-07T08:59:08+05:30,"{""adviser_id"":""adv02"",""slot"":""2026-07-14T11:30:00+05:30"",""summary"":""call booked: using the app"",""tier"":""diwm"",""topic"":""Using the app""}"
EV0001203,P00010,state_enter_S7,K02,2026-07-07T08:59:08+05:30,"{""from_state"":""S9"",""state"":""S7""}"
EV0001207,P00010,plan_updated,H05,2026-07-10T14:13:36+05:30,"{""from_version"":""v1"",""reason"":""publish"",""to_version"":""v2""}"
EV0001208,P00010,state_enter_S11,H01e,2026-07-10T14:13:36+05:30,"{""from_state"":""S7"",""state"":""S11""}"
EV0001210,P00010,update_accepted,H05,2026-07-11T13:50:58+05:30,"{""to_version"":""v2""}"
EV0001211,P00010,state_enter_S7,K02,2026-07-11T13:50:58+05:30,"{""from_state"":""S11"",""state"":""S7""}"
EV0001212,P00010,state_enter_S9,H01c,2026-07-14T12:15:00+05:30,"{""from_state"":""S7"",""state"":""S9""}"
EV0001214,P00010,call_completed,K03,2026-07-14T12:17:00+05:30,"{""adviser_id"":""adv02"",""slot"":""2026-07-14T11:30:00+05:30"",""summary"":""Walked through using the app; next step agreed.""}"
EV0001215,P00010,review_due,Q01,2026-07-17T08:40:58+05:30,"{""review_id"":""RV-00476-1""}"
EV0001230,P00010,review_done,Q01,2026-07-22T07:18:33+05:30,"{""review_id"":""RV-00476-1""}"
EV0001231,P00010,plan_updated,H05,2026-07-22T07:19:33+05:30,"{""from_version"":""v2"",""reason"":""review"",""to_version"":""v3""}"
EV0001233,P00010,update_accepted,H05,2026-07-22T07:20:33+05:30,"{""to_version"":""v3""}"
